0	44.62	2.44	23.86	60.07	5.39	71	3.33	8.50	-1.41	-1.4	5.45
0	28.26	1.89	35.32	67.35	3.2	54	17.09	1.40	-1.04	-0.88	10.75
1	33.09	-1.60	67.71	73.58	1.34	7.6	67.28	14.90	0.15	0.83	74
0	428.43	0.96	87.36	79.56	1.5	8	46.26	6.20	-0.91	-0.34	61.25
0	66.85	1.08	28.30	48.22	3.14	74.2	10.83	25.30	0.11	-0.28	4.59
0	28.75	1.22	35.48	69.6	3.06	23.6	41.35	8.20	-1.09	-0.62	21.72
1	48.35	-1.48	67.23	73.56	1.76	4.7	76.60	13.20	0.31	0.83	68
1	200.13	2.49	85.64	80.99	1.52	1.7	18.21	5.10	2.12	1.66	92
0	83.42	0.08	59.44	74.79	1.44	6.5	40.76	31.00	0.02	-0.07	63.15
0	37.28	2.80	33.21	63.8	4.58	40.9	4.09	2.60	-0.28	-0.87	2.05
1	175.35	3.95	98.27	74.26	2.65	9.5	21.86	3.60	-0.16	-0.08	79.18
0	163.95	2.86	15.85	54.14	5.55	46	0.81	7.80	-0.36	-0.5	4.35
1	87.53	1.66	73.36	74.67	1.99	7.3	42.28	3.40	0.3	1.01	65.8
0	1106.55	1.93	42.23	77.19	1.71	9.2	13.18	14.40	-0.63	-0.31	38.93
0	73.84	2.70	24.40	57.08	4.54	48.7	4.05	9.80	-1.1	-0.54	32.1
0	11.82	2.99	35.57	51.37	6.85	79.6	6.10	8.80	-0.61	-0.99	2.17
0	6.13	1.43	53.54	68.89	2.59	16.7	43.19	5.30	-0.88	-0.26	53.32
1	1302.11	0.40	94.98	82	1.38	5.1	35.31	6.40	0.96	1.24	70
0	69.62	2.19	82.95	73.43	3.7	16.4	39.94	12.90	0.04	-0.04	41
0	3.59	2.49	41.79	61.19	4.78	64.8	5.14	31.20	-0.6	-0.91	5.37
1	350.66	-0.20	91.73	82.59	1.39	2.4	59.92	4.30	1.61	1.35	79.05
1	633.52	0.42	41.82	73.27	1.45	13	39.86	8.70	0.33	0.76	41.39
0	249.91	0.21	52.16	73.08	2.31	14.4	25.99	13.70	-0.36	-0.02	46.5
1	61.4	1.24	78.39	76.91	2.25	13.4	27.69	5.30	-0.41	0.32	38.42
0	60.97	2.29	52.00	50.05	4.91	76.2	8.36	4.10	-1.1	-1.11	2.38
0	123.91	-0.04	48.38	68.58	1.47	15.1	38.20	5.60	-0.6	-0.55	43.37
1	206.44	0.32	68.58	82.09	1.41	3.2	63.86	8.40	-0.03	0.41	58
0	1.77	1.52	69.35	67.12	2.45	23	61.10	4.80	-0.67	-0.63	16.4
1	358.87	1.81	91.94	81.76	3	3.3	62.38	6.90	0.83	1.25	73.37
0	46.14	0.07	63.48	74.54	1.69	5.5	55.53	19.60	-0.1	0.13	56.84
1	66.44	0.26	62.51	80.5	2.05	3.4	73.47	14.70	1.45	1.53	79
0	71.83	1.43	57.41	70.41	2.65	28.2	14.13	9.00	-0.41	-0.04	55
0	73.13	2.54	66.47	69.02	4.15	28.4	15.98	15.30	-1.23	-1.11	7.1
0	31.26	2.50	31.47	49.49	5.34	63.1	4.85	2.20	-0.41	-0.64	4.85
0	46.31	1.32	69.23	73.45	1.91	15.1	55.16	10.50	-0.82	-0.46	26
0	80.13	0.85	33.22	65.15	1.98	41.1	13.81	6.00	-1.12	-1.53	1.07
0	134.58	1.25	51.45	70.39	2.4	25.8	27.20	6.60	-0.66	-0.29	15.36
0	2.69	1.87	38.96	63.28	3.17	28.3	9.33	16.70	0.22	0.12	12.94
0	410.72	1.26	31.66	65.96	2.53	43.8	23.27	3.60	-0.57	-0.03	12.58
0	189.44	1.16	17.34	67.55	2.5	33.6	14.49	2.70	-0.83	-0.99	11.15
1	3.18	0.35	93.83	82.36	2.02	1.7	80.94	6.00	1.86	1.49	96
1	494.9	0.45	83.52	81.2	1.76	3.4	76.42	5.30	2.13	1.79	93
1	110.15	-0.28	69.91	74.86	1.23	5.3	59.51	10.90	0.28	0.62	72
1	16.73	0.63	86.29	80.9	2.1	4.7	80.78	6.90	2.32	1.79	89.51
0	49.07	1.46	57.86	74.13	2.58	20.6	17.86	8.00	-0.78	-0.89	13.5
0	69.5	2.03	52.73	73.11	3.08	19.4	20.56	4.40	-0.94	-0.72	18.12
0	13.04	3.84	18.12	57.48	7.01	62.8	1.75	1.50	-0.69	-0.67	1.41
0	364.04	1.39	54.64	62.31	3.28	56.5	1.03	7.20	-1.24	-1.63	10.87
0	180.28	2.79	50.23	51.71	6.02	77.8	10.41	3.90	-1.13	-1	32.88
0	4.02	0.57	28.49	65.88	2.64	29.4	12.91	21.00	-0.6	-0.14	34.31
1	16.28	1.32	79.65	81.3	1.88	2.2	73.09	3.20	2.24	1.76	95
0	45.42	2.56	35.94	55.59	5.16	78.9	8.79	3.10	-1.11	-1.15	1.49
0	137.24	2.53	50.24	71.07	3.91	24.2	17.88	2.90	-0.52	-0.7	16
0	228.53	1.69	36.55	66.28	3.35	69.3	9.53	5.00	-1.06	-0.79	9.96
0	309.04	0.39	39.49	72.48	2.21	11.4	52.77	10.20	0.4	0.31	42.09
1	50.31	1.64	75.78	77.16	2.52	15.9	41.78	4.00	-0.39	0.31	45.2
1	87.66	-0.18	61.71	80.74	1.43	4.1	91.39	17.70	-0.25	0.31	56
0	15.49	2.17	12.57	62.16	3.9	48.4	1.89	4.00	-1.04	-0.77	2.3
0	109.08	2.17	52.52	64.22	3.98	48.6	12.29	4.20	-0.09	-0.07	17.11
0	16.54	1.72	62.44	72.11	2.93	18.8	34.56	5.60	-0.84	-0.9	27.08
1	234.67	0.11	74.07	80.74	1.36	3.4	56.53	5.40	1.78	1.57	84
0	23.14	1.25	77.58	74.21	2.48	14.1	42.99	3.60	-0.39	-0.16	38.2
0	78.94	0.63	52.98	73.81	1.82	17.8	27.93	15.00	0.25	0.57	45.5
0	318.79	1.72	49.12	68.39	3.11	23.5	28.20	7.00	-0.58	0.08	36.24
1	126.69	0.02	60.84	76.75	1.3	4.3	73.51	10.10	0.59	0.66	65
1	6.19	2.39	86.46	62.69	4.18	42.4	7.24	17.80	-0.55	-0.87	8.62
1	115.41	-0.29	61.58	80.72	1.35	2.9	65.95	15.60	1.09	1.03	64
1	119.37	0.50	86.26	81.67	2.03	3.4	57.06	9.90	1.42	1.33	83
1	164.59	7.05	98.89	78.3	2.23	6.4	12.15	0.50	1.19	0.95	88.1
1	17.73	0.48	83.82	80.47	1.83	2.4	95.54	7.70	2.22	2.21	91
1	92.91	-0.27	52.85	74.51	1.25	10.7	58.84	7.00	-0.27	-0.31	50
